a66_id	main_id	ra	dec	otype	identifier
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"PN VV'  520"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"SCM 252"
"PN A66   67"	"PN A66   67"	299.61259118176	3.0500026503800006	"PN"	"USNO-B1.0 0930-00655893"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"Gaia DR3 1826936121144576896"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"GSC2 N031203279130"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"IRAS 19579+2134"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PK 060-04  1"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PN A55   55"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PN A66   68"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PN ARO  166"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PN G060.0-04.3"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PN VV'  522"
"PN A66   68"	"PN A66   68"	300.0441780443387	21.715561238676663	"PN"	"PSO J300.0441+21.7155"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PK 076+01  1"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PN A55   56"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PN A66   69"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PN ARO   15"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PN G076.3+01.1"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"PN VV'  533"
"PN A66   69"	"PN A66   69"	304.9930958333333	38.4006	"PN"	"UWISH2 G076.37264+01.17216"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"2MASS J05030752-1536227"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"AG82  38"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"CSI-15-05009"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"EC 05008-1540"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"EGGR 902"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"FB  43"
"PN A66    7"	"PN A66    7"	75.78138642496	-15.606311337320001	"PN"	"Gaia DR2 2986220396462236032"
